@relation kredyty-30-dniowe-weka.filters.unsupervised.attribute.StringToNominal-R1-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.attribute.Remove-R1

@attribute kwoty-kredytu numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute rodzaj-zrodla-dochodu numeric
@attribute miesieczny-dochod-netto numeric
@attribute ktore-rolowanie numeric
@attribute okres-w-jakim-pobieral�-dochod numeric
@attribute okres-w-jakim-bedzie-pobierac�-dochod numeric
@attribute opoznione-splaty numeric

@data
300,60,K,13,810,6,34,48,0
600,49,M,11,2500,0,375,48,3
800,61,K,13,5100,1,29,48,0
500,49,K,11,1800,6,54,48,3
400,38,K,11,800.51,0,21,48,332
400,75,K,13,1900,2,122,48,0
428.68,55,M,16,588,2,423,48,6
349.66,64,M,13,1601.87,2,46,48,2
400,68,M,13,1162.41,0,105,48,0
400,44,M,12,1963.88,5,7,9,8
200,57,M,13,819,0,58,48,0
316.68,43,M,98,3178,0,202,48,71
200,57,K,99,780,2,2,3,3
200,53,K,99,1100,3,53,48,0
200,71,K,13,634.64,0,253,48,0
700,59,K,13,1400,1,247,48,0
300,25,M,12,1400,0,13,33,6
300,60,K,13,1087,0,72,48,3
400,64,K,13,1507,0,60,48,8
200,61,K,13,992.96,2,13,48,0
300,48,K,11,1077.49,0,373,48,0
200,61,K,13,984,1,12,48,0
300,49,K,11,992.84,6,122,48,2
400,35,M,11,1058,1,15,48,0
393.48,63,K,13,1668,6,92,48,0
300,30,M,11,1000,6,58,48,9
500,60,M,11,2100,5,188,48,0
300,26,M,11,1459,3,10,48,13
200,70,K,13,865,6,129,48,0
200,54,K,12,1000,1,46,48,0
300,49,M,11,1400,0,15,48,14
200,60,K,13,1026,5,56,48,41
700,58,K,13,1872,6,36,48,1
300,46,K,98,911,6,99,48,2
300,62,K,13,714,0,223,48,0
240,57,K,16,634.64,5,137,48,6
300,46,K,12,1038.68,2,22,26,2
500,64,M,13,1530,0,36,48,0
600,80,M,13,2547,0,196,48,0
300,22,K,12,1500,5,5,6,0
500,35,K,11,2400,5,114,48,5
249.3,57,K,16,2100,1,40,48,2
300,74,K,13,1536,1,37,48,0
200,42,K,99,2290.55,3,19,21,0
500,31,M,11,2180.09,0,51,48,13
500,67,K,13,1431,0,248,48,0
300,79,K,13,1167.94,1,370,48,0
327,52,K,11,2065.98,0,180,48,12
299.23,52,K,11,1400,2,162,48,0
200,50,M,16,1045,5,200,48,3
500,69,K,16,1401,0,76,48,0
400,39,M,11,1300,0,46,48,0
200,21,M,99,1500,0,4,6,0
300,63,K,13,1100,3,106,48,0
300,62,M,15,1100.79,1,91,48,0
300,71,M,13,1426,6,78,48,0
300,46,M,11,1360,2,121,48,0
500,50,K,17,990,2,73,48,0
500,53,M,11,2080,0,319,48,0
244.61,62,K,13,1525.46,1,37,48,5
558.03,62,K,13,3700,6,28,48,0
200,56,K,98,980,5,11,48,0
200,26,M,12,1100,1,34,48,6
200,53,K,12,984.34,5,19,21,0
300,21,M,11,1625,0,24,48,4
281.61,54,M,11,2100,3,39,48,5
500,24,M,11,2327.94,2,36,48,20
400,65,M,16,1473.04,3,168,48,0
300,65,K,13,802.83,0,204,48,3
200,53,K,16,749.28,6,68,48,0
250,21,M,12,1500,0,8,8,0
200,31,K,12,980,6,13,15,2
200,40,K,11,2505,0,166,48,2
400,60,K,13,1500,2,63,48,2
800,68,K,13,2120,1,121,48,5
500,41,K,11,1870,0,113,48,10
200,63,K,13,1233,5,125,48,0
477.41,61,M,11,1250,1,68,48,10
299.28,70,K,16,1235,1,35,48,270
200,70,M,13,1642.87,0,71,48,0
200,58,K,16,634,5,54,48,0
500,61,K,13,1310,2,80,48,3
500,75,M,13,1150,0,140,48,23
281.84,46,K,12,1032,6,40,41,8
200,63,M,13,1287.66,5,98,48,10
450,68,K,13,1019,0,135,48,10
200,68,K,13,803.86,6,160,48,2
530,62,K,13,1691.3,2,75,48,7
200,41,K,11,1000,1,63,48,10
500,55,K,16,2300,7,65,48,0
400,50,K,12,1000,6,34,35,0
400,60,M,12,1000,6,14,14,0
600,27,K,11,2100,1,25,48,0
200,54,K,11,1400,6,119,48,0
500,50,M,16,2150,0,83,48,0
618.26,65,M,13,3040,2,203,48,2
500,67,K,13,815,1,146,48,266
300,77,K,13,1300,3,195,48,2
300,55,K,11,2800,1,11,48,1
300,46,K,11,900,6,95,48,7
278.98,38,K,98,1200,6,48,48,5
400,60,K,13,1107,0,17,48,0
200,62,M,13,1162,6,223,48,0
500,62,K,13,1900,0,90,48,0
300,70,M,13,1420,0,55,48,7
272.78,59,K,13,1658,6,31,48,0
700,61,K,13,2066,6,131,48,6
300,54,K,16,1500,1,4,48,1
512,61,M,13,1500,6,25,48,15
200,60,K,13,1635,6,122,48,0
800,55,K,13,3440,6,53,48,0
774.28,33,K,11,2200,2,39,48,0
300,54,K,11,2800,6,62,48,0
400,60,K,16,1411,3,68,48,4
399.66,39,K,11,1239.05,3,206,48,13
438.12,35,M,11,1850,1,57,48,7
300,67,M,13,1573,1,91,48,1935
300,55,K,16,2300,0,65,48,0
600,51,K,11,3200,6,56,48,11
450,59,K,13,1650,0,117,48,0
282.57,71,M,13,1772.53,3,282,48,12
300,70,K,13,1000,3,66,48,2
200,43,M,11,2284.23,1,302,48,3
299.72,62,K,13,714,7,224,48,0
400,58,K,11,1500,5,87,48,2
200,45,K,11,1344.9,5,48,48,7
500,49,K,11,2500,2,235,48,2
200,31,K,12,1865,3,22,23,2
300,71,M,13,562,2,83,48,3
324.56,61,K,13,1170,5,80,48,0
350,61,M,16,837,5,233,48,4
460,65,K,13,1013.74,6,115,48,2
500,60,K,13,1212,6,56,48,2
200,31,M,98,2000,0,16,48,0
200,60,K,16,684.64,0,343,48,2
300,43,K,11,1738.57,1,59,48,0
600,78,M,13,1519,0,256,48,1933
292.28,60,K,13,936,4,33,48,244
399.72,54,K,11,2368.57,0,412,48,12
200,65,K,13,670,2,68,48,1931
600,65,K,16,892,0,203,48,0
700,68,K,16,980,0,133,48,7
300,68,K,13,1027,2,194,48,0
600,72,K,13,640,0,141,48,0
400,62,K,16,2084.79,0,143,48,0
315.12,73,M,13,960,6,142,48,1
667.77,63,K,13,930,3,96,48,0
299.28,63,K,16,1389,1,93,48,1
400,64,K,13,840,4,115,48,2
265.58,62,K,13,1189,6,72,48,1
200,67,K,13,720.19,4,95,48,0
400,63,K,13,917,0,78,48,7
500,63,K,13,3251,0,140,48,0
300,40,K,12,1896,0,15,17,1
900,58,K,17,684,6,192,48,1
575.64,52,M,11,3200,6,191,48,0
400,59,M,11,2000,1,72,48,8
200,61,K,13,975,6,29,48,1
200,55,M,11,1460.17,3,63,48,1
400,70,K,13,729.03,7,259,48,0
500,53,M,11,1320,6,344,48,2
235.97,65,M,12,1100,6,24,36,8
200,61,K,13,997,6,81,48,1
400,41,M,11,1800,0,107,48,213
282.28,48,M,11,1600,0,344,48,3
300,39,K,12,1027,6,11,48,1
500,47,M,12,600,7,11,27,1
200,37,K,12,599.03,5,21,22,9
289.72,54,K,16,1045.6,7,14,48,1
400,66,K,13,1137.19,6,98,48,1
430,38,M,11,2470,3,68,48,5
300,66,M,13,2110,0,103,48,5
300,54,K,17,864.6,0,4,8,0
400,53,K,13,1213,1,52,48,14
200,57,K,11,983.97,0,80,48,1929
550,54,K,12,1675,6,11,12,1
500,77,M,13,2609,0,193,48,0
400,60,K,13,1425,0,81,48,0
465.37,35,K,98,4000,6,21,48,2
530,32,M,11,2050,1,120,48,5
300,33,M,11,1800,6,167,48,0
400,54,K,12,1000,0,47,48,1
292.28,58,K,13,1244.77,0,41,48,294
600,55,K,12,1350,0,24,25,1
200,31,M,11,2000,0,7,48,0
248.57,65,M,13,1559,1,73,48,1
600,72,K,13,2534,0,129,48,0
200,72,K,13,730,5,563,48,1
500,52,M,11,2011,0,213,48,7
693.7,38,K,11,1900,2,210,48,5
400,34,K,11,980.11,3,47,48,0
300,52,M,12,1210,0,9,10,1927
282.68,52,K,12,1050,5,36,36,0
200,52,K,99,598,0,5,6,0
300,43,K,11,1400,0,27,48,0
470,69,K,13,1800,1,119,48,14
400,57,M,12,1650,0,3,27,1927
300,49,M,13,3900,7,32,48,0
500,50,M,11,2400,0,254,48,0
400,53,M,11,4000,7,12,48,4
300,73,K,13,1412,0,206,48,0
200,56,K,11,1172.2,6,39,48,3
300,71,M,13,1295.37,2,309,48,0
300,35,K,12,1200,6,12,14,0
200,72,M,13,1700,1,16,48,14
500,72,M,13,1700,6,16,48,8
437.15,61,K,13,1362,6,58,48,3
537.15,62,K,13,962,2,67,48,3
242.28,65,K,13,1350,5,113,48,0
300,70,K,13,729.03,0,259,48,0
500,47,M,13,864.34,1,158,48,2
200,69,K,16,959.6,6,117,48,0
401.3,47,M,12,1574.45,0,33,36,10
600,49,K,11,2800,6,321,48,10
400,56,M,11,1842.86,5,10,48,3
879.43,35,M,12,1500,3,35,36,14
326.78,40,M,11,1261.98,6,38,48,10
700,48,K,98,1357,0,3,48,1926
200,20,M,17,985,7,15,18,3
300,57,K,13,611,5,141,48,0
500,75,K,13,1248,0,252,48,0
500,60,K,13,1000,6,70,48,0
300,50,M,12,1000,4,45,48,0
202.28,60,M,11,3000,7,214,48,0
292.28,78,K,13,1239.98,4,257,48,0
400,54,M,11,1300,0,36,48,4
423.23,31,M,11,2700,6,17,48,14
600,43,K,11,1443,1,36,48,1
400,54,K,12,1700,7,57,48,0
200,57,M,11,1800,0,163,48,0
204.78,29,M,11,1888.27,1,79,48,8
200,75,K,13,616,6,248,48,1
600,45,M,12,3500,1,189,48,2
600,61,K,13,1050,7,141,48,0
200,71,K,13,722.05,6,199,48,1
800,57,M,12,2500,5,7,10,1
600,32,K,11,1290,6,21,48,6
360.31,38,K,11,2927,5,203,48,2
300,66,K,13,1428.55,0,139,48,0
300,29,M,11,1590,1,55,48,7
700,47,K,12,830.46,5,47,48,0
563.44,68,M,13,2000,1,47,48,285
300,79,K,13,1442.43,2,143,48,0
200,72,K,13,785,3,66,48,0
200,27,M,12,1400,1,4,3,0
500,58,M,16,1770,7,91,48,0
400,72,M,13,1870,2,87,48,2
400,59,K,12,1320,0,11,35,2
300,36,K,11,1228,0,36,48,4
500,70,K,13,1200,6,121,48,7
200,70,K,13,1200,0,121,48,7
400,51,M,11,1800,3,261,48,0
200,26,K,12,1100,3,17,18,4
300,26,K,11,2300,0,24,48,0
300,53,M,11,1300,0,454,48,0
290.88,61,K,13,1090.14,6,77,48,5
830,61,K,13,1977,4,57,48,1921
500,47,M,13,1500,1,88,48,6
300,75,K,13,1000,0,213,48,0
600,54,K,11,1300,1,70,48,13
300,63,K,13,1014,1,185,48,6
200,31,K,12,1032.34,6,7,11,1920
437.15,62,K,13,820,1,33,48,0
400,21,M,99,1500,0,5,7,0
600,53,K,11,1700,0,207,48,0
200,46,M,99,1400,0,18,20,0
345.97,54,K,11,1721.7,7,122,48,0
400,49,K,11,1764,0,66,48,0
314.15,35,K,11,2709.34,7,183,48,0
200,61,K,13,992.96,3,14,48,0
350,73,K,11,1348.95,1,116,48,10
400,44,M,11,3300,0,240,48,2
300,52,K,16,685,0,43,48,298
300,60,K,13,810,7,35,48,0
300,37,K,12,1382,0,23,24,0
300,57,K,11,1680,6,387,48,4
350,58,K,13,1500,0,48,48,4
500,58,K,13,1240,3,72,48,0
300,25,K,11,1600,0,54,48,243
300,21,M,12,952.89,2,25,26,5
290,61,K,13,1280,7,19,48,0
300,65,K,13,1400,0,120,48,4
200,65,M,13,1611,1,143,48,0
297.28,48,K,11,1077.49,1,375,48,2
450,59,M,13,3900,0,116,48,3
400,60,K,13,1800,1,71,48,0
250,21,M,12,1500,1,8,11,0
800,61,K,13,5100,2,30,48,0
600,41,K,98,5000,2,86,48,14
500,59,K,13,1300,0,32,48,0
500,45,K,11,3000,1,95,48,0
400,58,K,13,1300,0,36,48,0
500,51,K,11,1700,6,309,48,2
400,66,K,13,850,6,69,48,2
392.82,51,M,11,1400,1,41,48,2
200,61,K,13,984,2,13,48,2
200,75,K,13,965,6,247,48,8
300,45,M,11,2100,2,52,48,0
400,75,K,13,1900,3,123,48,1
389.72,52,K,98,3000,3,87,48,1
200,53,M,11,2094.17,3,243,48,4
478.6,44,K,11,2245.01,1,148,48,1
400,35,M,11,1186,0,12,48,0
200,61,K,13,744.07,0,15,48,0
339.72,68,M,13,1162.41,1,106,48,0
300,64,K,16,1132,3,99,48,1914
830,59,K,13,1400,2,248,48,0
500,56,M,13,1900,7,152,48,0
200,27,M,17,728,7,102,48,1
330.1,63,K,13,1668,7,93,48,1
389.72,35,M,11,1058,2,16,48,0
500,60,M,11,2100,6,189,48,0
500,56,M,13,1553,0,111,48,1
200,57,M,13,12220,5,73,48,0
500,49,M,11,2500,1,376,48,0
200,53,K,99,1100,4,55,48,0
500,49,K,11,1800,7,55,48,2
400,23,M,98,1200,0,18,48,11
515.96,58,K,13,1801.41,2,40,48,0
200,70,K,13,865,7,130,48,0
700,32,K,11,3100,2,123,48,5
700,37,K,11,3178.76,2,123,48,5
400,59,K,13,1400,0,48,48,4
300,30,M,12,3400,0,19,38,0
378.91,70,K,13,1291.18,7,81,48,0
300,62,M,13,2000,0,36,48,0
500,36,M,11,3898,2,183,48,3
600,80,M,13,2547,1,197,48,0
300,22,K,12,1500,6,6,18,3
299.23,52,K,11,1400,3,163,48,0
500,55,K,12,1600,0,12,17,4
500,29,K,12,1447,7,25,36,3
349.66,64,M,13,1601.87,3,47,48,3
300,53,K,16,1740,0,116,48,0
206,30,M,12,1521,3,22,31,0
300,49,K,11,992.84,7,123,48,0
300,79,K,13,1167.94,2,371,48,0
200,54,K,11,1400,7,119,48,2
300,46,M,11,1360,3,122,48,0
700,58,K,13,1872,7,37,48,5
527.15,73,K,13,951,6,164,48,58
